Name,Smile,Vendor
Panobinostat (LBH589),Cc1[nH]c2ccccc2c1CCNCc1ccc(C=CC(=O)NO)cc1,selleck
"Vorinostat (SAHA, MK0683)",O=C(CCCCCCC(=O)Nc1ccccc1)NO,selleck
Entinostat (MS-275),Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,selleck
Belinostat (PXD101),O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,selleck
Abexinostat (PCI-24781),CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,selleck
Dacinostat (LAQ824),O=C(C=Cc1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,selleck
Quisinostat (JNJ-26481585) 2HCl,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,selleck
Mocetinostat (MGCD0103),Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,selleck
Valproic acid sodium salt (Sodium valproate),CCCC(CCC)C(=O)O[Na],selleck
CUDC-101,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,selleck
Droxinostat,Cc1cc(Cl)ccc1OCCCC(=O)NO,selleck
MC1568,Cn1cc(C=CC(=O)c2cccc(F)c2)cc1C=CC(=O)NO,selleck
Pracinostat (SB939),CCCCc1nc2cc(C=CC(=O)NO)ccc2n1CCN(CC)CC,selleck
Divalproex Sodium,CCCC(CCC)C(=O)O,selleck
Curcumin,COc1cc(C=CC(=O)C=C(O)C=Cc2ccc(O)c(OC)c2)ccc1O,selleck
PCI-34051,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,selleck
Givinostat (ITF2357),CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,selleck
AR-42,CC(C)C(C(=O)Nc1ccc(C(=O)NO)cc1)c1ccccc1,selleck
(-)-Parthenolide,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,selleck
Tubastatin A HCl,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,selleck
Resminostat,CN(C)Cc1ccc(S(=O)(=O)n2ccc(C=CC(=O)NO)c2)cc1,selleck
CUDC-907,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,selleck
M344,CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1,selleck
Tacedinaline (CI994),CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,selleck
Sinapinic Acid,COc1cc(C=CC(=O)O)cc(OC)c1O,selleck
Sodium Phenylbutyrate,O=C(CCCc1ccccc1)O[Na],selleck
Biphenyl-4-sulfonyl chloride,O=S(=O)(Cl)c1ccc(-c2ccccc2)cc1,selleck
sulforaphane,CS(=O)CCCCN=C=S,selleck
UF010,CCCCNNC(=O)c1ccc(Br)cc1,selleck
Suberohydroxamic acid,O=C(CCCCCCC(=O)NO)NO,selleck
RGFP966,Nc1cc(F)ccc1NC(=O)C=Cc1cnn(CC=Cc2ccccc2)c1,selleck
HPOB,O=C(NO)c1ccc(CC(=O)N(CCO)c2ccccc2)cc1,selleck
RG2833 (RGFP109),Cc1ccc(C(=O)NCCCCCC(=O)Nc2ccccc2N)cc1,selleck
TMP269,O=C(NCC1(c2nc(-c3ccccc3)cs2)CCOCC1)c1cccc(-c2noc(C(F)(F)F)n2)c1,selleck
Nexturastat A,CCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1ccccc1,selleck
4SC-202,Cn1cc(-c2ccc(S(=O)(=O)n3ccc(C=CC(=O)Nc4ccccc4N)c3)cc2)cn1,selleck
LMK-235,Cc1cc(C)cc(C(=O)NOCCCCCC(=O)NO)c1,selleck
Splitomicin,O=C1CCc2c(ccc3ccccc23)O1,selleck
Santacruzamate A (CAY10683),CCOC(=O)NCCCC(=O)NCCc1ccccc1,selleck
CAY10603,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,selleck
Tasquinimod,COc1cccc2c1c(O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(=O)n2C,selleck
BG45,Nc1ccccc1NC(=O)c1cnccn1,selleck
BRD73954,O=C(NO)c1cccc(C(=O)NCCc2ccccc2)c1,selleck
Ricolinostat (ACY-1215),O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,selleck
Scriptaid,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,selleck
Citarinostat (ACY-241),O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2Cl)nc1)NO,selleck
WT161,O=C(CCCCCCC(=O)NN=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)NO,selleck
TMP195,CC(C)(CNC(=O)c1cccc(-c2noc(C(F)(F)F)n2)c1)c1coc(-c2ccccc2)n1,selleck
Tucidinostat (Chidamide),Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)C=Cc2cccnc2)cc1,selleck
ACY-738,O=C(NO)c1cnc(NC2(c3ccccc3)CC2)nc1,selleck
SKLB-23bb,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OCCCC(=O)NO,selleck
Tinostamustine(EDO-S101),Cn1c(CCCCCCC(=O)NO)nc2cc(N(CCCl)CCCl)ccc21,selleck
TH34,Cc1ccc(C(=O)NO)cc1NCc1ccccc1,selleck
Isoguanosine,Nc1nc(=O)[nH]c2c1ncn2C1OC(CO)C(O)C1O,selleck
BML-210 (CAY10433),Nc1ccccc1NC(=O)CCCCCCC(=O)Nc1ccccc1,selleck
SR-4370,CCCCNNC(=O)c1ccc(-c2cccc(F)c2F)cc1,selleck
NKL 22,Nc1ccccc1NC(=O)CCCCCC(=O)Nc1ccccc1,selleck
SIS17,CCCCCCCCCCCCCCCCNNC(=O)c1cccs1,selleck
BRD3308,CC(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1,selleck
GSK3117391,O=C(CCc1ccc(CNC(C(=O)OC2CCCC2)C2CCCCC2)cn1)NO,selleck
Raddeanin A,CC1OC(OC2C(OC3C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CCC7(C(=O)O)CCC56C)C4(C)C)OCC(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,selleck
ACY-775,O=C(NO)c1cnc(NC2(c3cccc(F)c3)CCCCC2)nc1,selleck
Benzenebutyric acid,O=C(O)CCCc1ccccc1,selleck
KA2507,O=C(NO)c1ccc(CN(c2cnccn2)c2cnccn2)cc1,selleck
CXD101,Cc1nn(C)cc1CN1CCC(c2ccc(C(=O)Nc3ccccc3N)cc2)CC1,selleck
TC-H 106,Cc1ccc(NC(=O)CCCCCC(=O)Nc2ccccc2N)cc1,selleck
